performance_id,candidate_id,edition_id,round_id,program_label,performance_status,source_url,notes
137,23,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/kotaro-shigemori,candidate_page_listing_status_by_reached_round
138,23,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/kotaro-shigemori,candidate_page_listing_status_by_reached_round
139,24,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/vitaly-starikov,candidate_page_listing_status_by_reached_round
140,24,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/vitaly-starikov,candidate_page_listing_status_by_reached_round
141,24,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/vitaly-starikov,candidate_page_listing_status_by_reached_round
142,24,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/vitaly-starikov,candidate_page_listing_status_by_reached_round
143,24,1,5,Final Round - Concerto 1,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/vitaly-starikov,candidate_page_listing_status_by_reached_round
144,24,1,6,Final Round - Concerto 2,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/vitaly-starikov,candidate_page_listing_status_by_reached_round
145,25,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/angel-stanislav-wang,candidate_page_listing_status_by_reached_round
146,25,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/angel-stanislav-wang,candidate_page_listing_status_by_reached_round
147,25,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/angel-stanislav-wang,candidate_page_listing_status_by_reached_round
148,25,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/angel-stanislav-wang,candidate_page_listing_status_by_reached_round
